Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2/27/2015,48.97,49.94,48.46,49.76,1.59,49.76,399494,414582
2/26/2015,51,51.22,47.8,48.17,2.82,48.17,459584,423040
2/25/2015,49.16,51.28,48.43,50.99,1.71,50.99,429524,420483
2/24/2015,49.42,50.33,48.68,49.28,0.17,49.28,293101,418014
2/23/2015,50.75,50.99,48.67,49.45,1.36,49.45,475396,402083
2/20/2015,51.24,51.85,49.91,50.25,0.82,50.34,30637,19846
2/19/2015,50.55,52.14,49.15,51.16,0.98,51.16,125210,66254
2/18/2015,53.24,53.41,50.32,52.14,1.39,52.14,257476,90118
2/17/2015,52.75,54.15,50.81,53.53,0.75,53.53,516363,169365
2/13/2015,51.35,53.43,51.03,52.78,1.57,52.78,436408,204251
2/12/2015,49.42,51.6,49.14,51.21,2.37,51.21,563439,249559
2/11/2015,50.98,51.14,48.05,48.84,1.18,48.84,519241,280063
2/10/2015,52.43,52.65,49.86,50.02,2.84,50.02,501040,333388
2/9/2015,52.01,53.99,51.65,52.86,1.17,52.86,535712,393894
2/6/2015,50.86,53.16,50.72,51.69,1.21,51.69,584501,444039
2/5/2015,48.67,52.1,47.36,50.48,2.03,50.48,596821,456217
2/4/2015,51.67,52.56,47.95,48.45,4.6,48.45,577553,466525
2/3/2015,49.79,54.24,49.69,53.05,3.48,53.05,643863,476193
2/2/2015,47.59,50.56,46.67,49.57,1.33,49.57,511390,487331
1/30/2015,44.63,48.35,44.31,48.24,3.71,48.24,454108,485159
1/29/2015,44.43,44.96,43.58,44.53,0.08,44.53,300732,483963
1/28/2015,45.83,45.83,44.08,44.45,1.78,44.45,365440,487487
1/27/2015,45.13,46.55,44.81,46.23,1.08,46.23,313126,495572
1/26/2015,45.2,46.41,44.35,45.15,0.44,45.15,310578,491567
1/23/2015,46.63,47.76,45.21,45.59,0.72,45.59,373539,495120
1/22/2015,47.35,49.09,45.87,46.31,1.47,46.31,426804,484741
1/21/2015,46.69,48.2,46.55,47.78,1.31,47.78,340252,482136
1/20/2015,48.69,48.77,45.89,46.35,2.3,46.39,49738,28856
1/16/2015,46.35,48.87,45.95,48.69,2.44,48.69,202689,69797
1/15/2015,48.6,51.27,46.07,46.25,2.23,46.25,491547,97092
1/14/2015,46.16,48.91,45.01,48.48,2.59,48.48,537685,158294
1/13/2015,45.69,46.79,44.2,45.89,0.18,45.89,500542,177824
1/12/2015,48.19,48.19,45.62,46.07,2.29,46.07,424561,201262
1/9/2015,48.92,49.61,47.16,48.36,0.43,48.36,460540,232826
1/8/2015,48.78,49.65,47.73,48.79,0.14,48.79,397064,260411
1/7/2015,48,49.31,46.83,48.65,0.72,48.65,486387,279774
1/6/2015,50,50.37,47.55,47.93,2.11,47.93,478105,294918
1/5/2015,52.61,52.73,49.68,50.04,2.65,50.04,392285,303470
1/2/2015,53.76,55.11,52.03,52.69,0.58,52.69,284836,306406
